Age,avgDist,maxDist,minDist,gender
16,1.8983046475793168,13.110248533282027,0.09979643457936006,Male
16,1.8909152503892315,7.474430093469928,0.14858020454828266,Female
17,1.7750175471718939,11.570206676052369,0.09852533658522275,Male
17,1.6854480870218518,7.027224796392384,0.17866012471557,Female
18,1.7279931396992811,12.505531830094194,0.08233000103174794,Male
18,1.6430279872303855,9.317701599227632,0.06810924682048515,Female
19,1.7876307484375307,10.785504872643957,0.03984079054221955,Female
19,1.665364959125292,10.852725728761895,0.008465401055004205,Male
20,1.8109390866965127,11.433661724245919,0.08255797237553227,Female
20,1.7152705956470444,12.920958011825723,0.03984079054221955,Male
21,1.864326622396578,12.322305874410016,0.03984079054221955,Female
21,1.7805026521393985,13.067415230535785,0.008465401055004205,Male
22,1.9977245531565395,11.374267524515465,0.08233000103174794,Female
22,1.882593633469899,12.652755584248162,0.03984079054221955,Male
23,2.2179743027640533,11.721301808456033,0.03984079054221955,Female
23,1.9858231822130892,13.425688086465595,0.03984079054221955,Male
24,2.0153896166688106,12.652755584248162,0.03984079054221955,Male
24,2.1216253094439654,14.196556717111251,0.03984079054221955,Female
25,2.020404520447025,13.089741437081148,0.03984079054221955,Male
25,2.182331162196603,12.719544442298652,0.03984079054221955,Female
26,1.9892472472274147,13.666410022894075,0.03984079054221955,Male
26,2.1076958170010496,12.432280790857638,0.03984079054221955,Female
27,2.0518260449899732,13.74645715120494,0.03984079054221955,Male
27,2.1328324536209284,12.620340002908476,0.03984079054221955,Female
28,2.122033709098689,12.56141992227839,0.03984079054221955,Female
28,2.055471998435658,13.488936191993094,0.039690936483261434,Male
29,2.0395456571534005,13.425688086465595,0.03984079054221955,Male
29,2.1516146397291096,13.077012641358973,0.03984079054221955,Female
30,2.100558041075891,12.652755584248162,0.03984079054221955,Female
30,2.0698584404344897,13.314441370201802,0.03984079054221955,Male
31,2.0481691844710004,12.505531830094194,0.03984079054221955,Male
31,2.1261570066580457,11.454110925142205,0.03984079054221955,Female
32,1.9894489506923982,13.611834073533329,0.03984079054221955,Male
32,2.092652453636762,12.322305874410016,0.03984079054221955,Female
33,2.009174647137486,12.464036474043944,0.03984079054221955,Male
33,2.1135343912671196,11.721301808456033,0.03984079054221955,Female
34,1.9739058287389248,12.80595100359015,0.03984079054221955,Male
34,2.0769919540906763,13.242233418102012,0.06810924682048515,Female
35,2.05636599328213,12.21607370292099,0.03984079054221955,Female
35,2.0064990014923003,13.146183924285943,0.03984079054221955,Male
36,2.0110879677388187,13.666410022894075,0.03984079054221955,Male
36,2.0068988261609255,12.322305874410016,0.03984079054221955,Female
37,1.9954666920048645,13.044103676239558,0.03984079054221955,Male
37,2.075859766396585,12.687209433131855,0.03984079054221955,Female
38,2.0708629692032225,13.521850408401978,0.03984079054221955,Female
38,2.009177178249625,13.735721860576506,0.026195302485367708,Male
39,1.997199373643055,11.760530482226933,0.06810924682048515,Female
39,2.0180724475900913,13.85029018437618,0.03984079054221955,Male
40,1.9799442302342583,13.89884544013631,0.03984079054221955,Male
40,1.9410885111764642,12.8369820577603,0.03984079054221955,Female
41,1.9975492692588257,13.31003142327268,0.03984079054221955,Male
41,2.0730563672075695,13.470378605426083,0.03984079054221955,Female
42,2.025201950585622,11.760530482226933,0.06810924682048515,Female
42,1.9414883002672934,12.719544442298652,0.03984079054221955,Male
43,2.022923608013395,10.80564592656138,0.03984079054221955,Female
43,1.9247183766195182,13.666410022894075,0.03984079054221955,Male
44,1.9535433258498436,11.70271546881173,0.03984079054221955,Female
44,1.9960981073660213,13.715206331659337,0.008465401055004205,Male
45,1.9429062912038317,12.476703916143327,0.03984079054221955,Male
45,2.031878010052436,11.305759514601297,0.06810924682048515,Female
46,1.8936713556754532,11.651103817474555,0.08233000103174794,Female
46,2.027231684691589,13.470378605426083,0.03984079054221955,Male
47,1.945505105080016,13.666410022894075,0.03984079054221955,Male
47,1.979339287747065,12.029458137450233,0.08233000103174794,Female
48,2.00721953548031,12.77204816801713,0.03984079054221955,Male
48,2.005329313211853,12.604942428217118,0.06810924682048515,Female
49,2.016074789854906,13.286009347260961,0.03984079054221955,Male
49,2.0192163957023976,12.919572231909639,0.06810924682048515,Female
50,2.0067620492457254,11.773305015723256,0.08255797237553227,Female
50,2.0312244838393156,12.792649456184524,0.03984079054221955,Male
51,2.005031906805355,11.695510940913344,0.03984079054221955,Female
51,1.9107526031492938,13.072881254726108,0.03984079054221955,Male
52,1.9471682122370915,12.645210294203665,0.03984079054221955,Male
52,1.9724627701224382,11.73554191740272,0.03984079054221955,Female
53,1.91353716954943,14.251487105986648,0.03984079054221955,Male
53,1.981822191632597,11.221559054495419,0.03984079054221955,Female
54,1.919022050413255,12.691285089565655,0.03984079054221955,Male
54,2.002608702197356,13.226219780289433,0.06810924682048515,Female
55,1.9838953035234892,11.167790689097414,0.06810924682048515,Female
55,1.9110757116029449,11.773305015723256,0.03984079054221955,Male
56,1.9650759996789493,11.355582396572865,0.03984079054221955,Female
56,1.973587941797107,13.891599411052438,0.03984079054221955,Male
57,2.0896728361380936,10.912413793123951,0.13839559932938245,Female
57,1.87189138796623,11.994762739239345,0.03984079054221955,Male
58,1.8483178643937874,13.611834073533329,0.03984079054221955,Male
58,1.9956757420761169,11.617402130483706,0.03984079054221955,Female
59,1.8670207486124493,11.994762739239345,0.03984079054221955,Male
59,2.0356699149584845,10.01091300383295,0.03984079054221955,Female
60,1.9320678114247076,11.773305015723256,0.03984079054221955,Male
60,1.9325715711557483,9.755855095481856,0.08255797237553227,Female
61,1.9125473093449525,9.895543629576578,0.08255797237553227,Female
61,1.9596794116980438,12.112896456139321,0.03984079054221955,Male
62,1.8874947781623685,12.604942428217118,0.03984079054221955,Male
62,1.9492824776922542,12.600366655723567,0.09027368272321745,Female
63,1.9120794751503043,10.911116328507926,0.06810924682048515,Male
63,2.169533211582407,10.592476088103636,0.09880121459059181,Female
64,1.879333944730118,12.01815050873049,0.03984079054221955,Male
64,1.8099646791543738,9.717796792196507,0.03984079054221955,Female
65,2.1437792583286837,10.911116328507926,0.08255797237553227,Female
65,1.8476544722024888,13.327919431975427,0.08233000103174794,Male
